name,longitude,latitude,transport_modes
"Aadorf, Bahnhof",8.90273570457,47.48844912428,BUS
"Aadorf, Matthofstrasse",8.90460941401,47.48516903603,BUS
"Aadorf, Morgental",8.89618518615,47.49397406309,BUS
"Aadorf, Zentrum",8.89941035062,47.49107284596,BUS
"Aarau Rohr, Friedhof",8.08464382146,47.40151458888,BUS
"Aarau Rohr, Furorastrasse",8.08283006615,47.3989510999,BUS
"Aarau Rohr, Gemeindehaus",8.08472077609,47.40323219669,BUS
"Aarau Rohr, Quellhölzli",8.07463269545,47.40020421626,BUS
"Aarau Rohr, Rigistrasse",8.08028309859,47.40195535869,BUS
"Aarau Rohr, Salamatt",8.07162333925,47.39890906306,BUS
"Aarau Rohr, Unterdorf",8.08802657633,47.40440564432,BUS
"Aarau, Aarenau",8.04913138772,47.40155778403,BUS
"Aarau, Aarepark",8.04132247957,47.39633698359,BUS
"Aarau, Achenbergstrasse",8.04607161812,47.39927131413,BUS
"Aarau, Allmendweg",8.03767026678,47.39195766534,BUS
"Aarau, Alte Badanstalt",8.0312581714,47.39540859988,BUS
"Aarau, Amthaus",8.0465064439,47.39364299495,BUS
"Aarau, Bahnhof",8.05100715569,47.39186082169,BUS
"Aarau, Bahnhof Süd",8.05248121685,47.39104350197,BUS
"Aarau, Bavaria",8.06312158337,47.39030294278,BUS
"Aarau, Berufsschule",8.05462721407,47.39677472706,BUS
"Aarau, Binzenhof",8.05068360997,47.38314577444,BUS
"Aarau, Binzenhofstrasse",8.04782696737,47.38110812263,BUS
"Aarau, Buchenhof",8.05070595622,47.38754506097,BUS
"Aarau, Dammweg",8.03376170507,47.3859155689,BUS
"Aarau, Delfterstrasse",8.06228013467,47.39876230256,BUS
"Aarau, Dossenstrasse",8.04621551832,47.38283763824,BUS
"Aarau, Dufourstrasse",8.05250507176,47.38506203503,BUS
"Aarau, Friedhof",8.04679811712,47.38863602628,BUS
"Aarau, Gais",8.05824450717,47.391499261,BUS
"Aarau, General-Guisan-Strasse",8.05542106466,47.37839956771,BUS
"Aarau, Hans-Hässig-Strasse",8.05059377845,47.38039036383,BUS
"Aarau, Heinerich-Wirri-Strasse",8.05390357767,47.38345357863,BUS
"Aarau, Herzogplatz",8.05559099581,47.38736619111,BUS
"Aarau, Hintere Bahnhofstrasse",8.05630706365,47.39126518667,BUS
"Aarau, Hirslanden Klinik",8.04187509874,47.39132418179,BUS
"Aarau, Holzmarkt",8.04504218999,47.39192198331,BUS
"Aarau, Ifang",8.03928398902,47.38809663602,BUS
"Aarau, Kantonsspital",8.06073003824,47.38739262159,BUS
"Aarau, Keba/Brügglifeld",8.05736409337,47.3815192785,BUS
"Aarau, Kettenbrücke",8.04250511282,47.3943250479,BUS
"Aarau, Kunsthaus",8.04683882056,47.39098543747,BUS
"Aarau, Käfergrund",8.05225447606,47.3793968224,BUS
"Aarau, Neue Kantonsschule",8.04334555373,47.38550606232,BUS
"Aarau, Neumattstrasse",8.06539126128,47.39972588089,BUS
"Aarau, Obere Vorstadt",8.04766686475,47.38932402933,BUS
"Aarau, Pestalozzistrasse",8.04230210592,47.38692365035,BUS
"Aarau, Rathaus",8.04301830702,47.39402554931,BUS
"Aarau, Roggenhausen",8.03679203258,47.38569305851,BUS
"Aarau, Schachenhalle/ETF",8.04057709742,47.39015266924,BUS
"Aarau, Schanz",8.04220632923,47.38899288256,BUS
"Aarau, Signalstrasse",8.04673102272,47.37935020451,BUS
"Aarau, Sonnmattweg",8.04313927679,47.39768566494,BUS
"Aarau, Tannerstrasse",8.04485488847,47.38430189008,BUS
"Aarau, Tellizentrum",8.05847200349,47.39769900853,BUS
"Aarau, Wallerplatz",8.04431270783,47.38252086056,BUS
"Aarau, Wasserfluhweg",8.04880554723,47.37887540652,BUS
"Aarau, Wöschnauring",8.03103889551,47.38520999255,BUS
"Aarberg, Aarezelg",7.27198117565,47.04987932748,BUS
"Aarberg, Bernfeld",7.28452749154,47.04378035563,BUS
"Aarberg, Bielstr/Friedhof",7.26998501426,47.04438942607,BUS
"Aarberg, Bifang",7.28301960251,47.05094734213,BUS
"Aarberg, Murtenstrasse",7.27276567065,47.04307123405,BUS
"Aarberg, Nidaustrasse",7.27125363568,47.04687392348,BUS
"Aarberg, Post/Bahnhof",7.2780380279,47.04449100149,BUS
"Aarberg, Scheueracker",7.26649425902,47.04550859043,BUS
"Aarberg, Schwimmbad",7.27502264717,47.04084372542,BUS
"Aarberg, Spital",7.27971392607,47.04732678364,BUS
"Aarburg, Alter Friedhof",7.90059595583,47.32620729705,BUS
"Aarburg, Höhe",7.90432576246,47.32916052393,BUS
"Aarburg, Kloosmatte",7.907859173,47.33681856475,BUS
"Aarburg, Längacker",7.90622554639,47.33309245819,BUS
"Aarburg, Stadtgarten",7.8994180916,47.32001475436,BUS
"Aarburg, Städtli",7.89898341634,47.32176143115,BUS
"Aarburg-Oftringen, Bahnhof",7.90781859897,47.3201518414,BUS
"Aareschlucht, Ost",8.21637923,46.7120835108,BUS
"Aathal, Bahnhof",8.7664743128,47.33560509422,BUS
"Aathal, Zürichstrasse",8.76834769046,47.33593111235,BUS
"Abländschen, Chappelematte",7.29176349895,46.5767059795,BUS
"Abländschen, Ganderli",7.287051,46.567987,BUS
"Abländschen, Hubel",7.2896348255,46.57283508953,BUS
"Abländschen, Jaungrund",7.28363967059,46.56198733523,BUS
"Abländschen, Mittelberg",7.25711176198,46.54688920122,BUS
"Abländschen, Zitbödeli",7.29257065056,46.57251508254,BUS
"Abtwil AG, Auwerstrasse",8.35464055496,47.17492443153,BUS
"Abtwil AG, Hofmatt",8.35579332307,47.17675930051,BUS
"Abtwil AG, Langegg",8.35827800422,47.18316215911,BUS
"Abtwil AG, Post",8.35530647736,47.1745233338,BUS
"Abtwil SG, Ausserdorf",9.3147106332,47.42039063787,BUS
"Abtwil SG, Dorf",9.31642081636,47.42152343441,BUS
"Abtwil SG, Dufourpark",9.32310654244,47.42540014387,BUS
"Abtwil SG, Farnen",9.32691010915,47.42387159824,BUS
"Abtwil SG, Friedhof",9.32300073839,47.42203710303,BUS
"Abtwil SG, Gemeindehaus",9.31934223381,47.42204271945,BUS
"Abtwil SG, Grund",9.32767728503,47.42307634666,BUS
"Abtwil SG, Hüslenweg",9.32157828874,47.42379665123,BUS
"Abtwil SG, Sonnenberg",9.31909080113,47.42580742711,BUS
"Abtwil SG, Sonnenhof",9.32572598951,47.42412485389,BUS
"Abtwil SG, St. Josefen",9.33139365063,47.42320447071,BUS
"Abtwil SG, Säntispark",9.3150192693,47.4174886919,BUS
"Abtwil SG, Wiesenbach/Cinedome",9.31235007012,47.4162184866,BUS
"Abtwil SG, Zentrumpark",9.31763388736,47.42246636288,BUS
"Achseten, Bettbach",7.59235152053,46.53102876663,BUS
"Achseten, Bönigen",7.59653579832,46.53562881445,BUS
"Achseten, Elsigbach/Luftseilb.",7.60639672055,46.52920089112,BUS
"Achseten, Hoher Steg",7.59214748615,46.52800651576,BUS
"Achseten, Höchst/Skilift",7.60333638685,46.51713772582,BUS
"Achseten, Kirche",7.5924284018,46.52594614307,BUS
"Achseten, Marchbach",7.58796983572,46.51596692495,BUS
"Achseten, Schmitten",7.59873767717,46.53969176601,BUS
"Achseten, Tregel",7.58922036716,46.52053505611,BUS
Acla da Fans,10.43590311567,46.95475902215,BUS
"Acla da Fontauna, center sport",8.84459669177,46.69973399693,BUS
"Aclens, collège",6.51029114115,46.56722857232,BUS
Acquacalda,8.83447605772,46.53763647299,BUS
"Acquarossa, Casa Anziani",8.93864422269,46.45087165076,BUS
"Acquarossa, Ospedale",8.94031779409,46.45113743211,BUS
"Acquarossa, Scuole",8.93566192399,46.45883762325,BUS
Acquarossa-Comprovasco,8.93848938922,46.45515640095,BUS
"Adelboden, Altersheim",7.56641341378,46.49761500682,BUS
"Adelboden, Ausserschwand",7.57398709808,46.50508165064,BUS
"Adelboden, Bergläger",7.53319907154,46.46878032383,BUS
"Adelboden, Boden Wendeplatz",7.55858942879,46.48198009822,BUS
"Adelboden, Bollersgraben",7.55966114623,46.47785897468,BUS
"Adelboden, Brügge",7.56228792929,46.476299922,BUS
"Adelboden, Chäli",7.56246126271,46.46087223741,BUS
"Adelboden, Dorf Sillerenbahn",7.55569015261,46.49025007528,BUS
"Adelboden, Dürrenegge",7.5639808519,46.48772251829,BUS
"Adelboden, Falkiport",7.56181146499,46.48442348267,BUS
"Adelboden, Geils",7.51341998473,46.45705563673,BUS
"Adelboden, Gilbach des Alpes",7.53901219565,46.47945317907,BUS
"Adelboden, Gulli",7.53079820966,46.48880652343,BUS
"Adelboden, Heinrichseggen",7.55248030071,46.48743768502,BUS
"Adelboden, Hirschen",7.58235058991,46.50491851656,BUS
"Adelboden, Hirzboden",7.58470015226,46.51147334271,BUS
"Adelboden, Hotel Alpina",7.56643423942,46.48426548439,BUS
"Adelboden, Janz Team",7.56874999713,46.49967236862,BUS
"Adelboden, Jugendh. Heilsarmee",7.5401695352,46.48560516154,BUS
"Adelboden, Kreuzgasse",7.5614008745,46.481365413,BUS
"Adelboden, Kurve",7.56344785101,46.4928691444,BUS
"Adelboden, Margeli",7.57156937318,46.49663760253,BUS
"Adelboden, Mineralquelle",7.56002390687,46.48874329113,BUS
"Adelboden, Mudi",7.56430697396,46.48229780102,BUS
"Adelboden, Mühleport",7.56194379392,46.49111608103,BUS
"Adelboden, Neuweg",7.57621797025,46.50114790313,BUS
"Adelboden, Oey",7.56588846041,46.49035612813,BUS
"Adelboden, Post",7.56029541558,46.4936905927,BUS
"Adelboden, Rainweg",7.57230233352,46.5033834611,BUS
"Adelboden, Raufmatte",7.56209226729,46.47039000858,BUS
"Adelboden, Schermtanne",7.52640999661,46.48934970203,BUS
"Adelboden, Schlegeli Crystal",7.56363294259,46.4950363371,BUS
"Adelboden, Schlegeli Hari",7.56540676772,46.49605088961,BUS
"Adelboden, Schreiner Bärtschi",7.53426008487,46.4873733857,BUS
"Adelboden, Schönbühl",7.57083891656,46.50159503472,BUS
"Adelboden, Unter dem Birg",7.56664908202,46.45927539784,BUS
"Adelboden, Unter der Fluh",7.54634038513,46.48451105502,BUS
"Adelboden, Wegscheide",7.55010770347,46.48631556801,BUS
"Adelboden, Zürcherhaus",7.53754117589,46.48689383363,BUS
"Adetswil, Frowiesstrasse",8.84410854478,47.33849992818,BUS
"Adetswil, Sunneberg",8.84185683016,47.33867667062,BUS
"Adligenswil, Blatte",8.36781121802,47.07036323673,BUS
"Adligenswil, Chliäbnet",8.38107093771,47.07343066154,BUS
"Adligenswil, Dorf",8.36385011351,47.07047617045,BUS
"Adligenswil, Luegisland",8.3562973415,47.06382604957,BUS
"Adligenswil, Rigiblick",8.36251766192,47.06573722255,BUS
"Adligenswil, Sagi",8.37829285738,47.07118652728,BUS
"Adligenswil, Stuben",8.35023353232,47.0726450233,BUS
"Adligenswil, Widspüel",8.35995300115,47.07354800015,BUS
Adlikon b. Andelfingen,8.68986368179,47.58300285806,BUS
"Adlikon b. R., Dorf",8.46646853292,47.4481623687,BUS
"Adlikon b. R., Leematten",8.46705781431,47.45258257923,BUS
"Adlikon b. R., Pächterried",8.47004467878,47.44589982162,BUS
"Adlikon b. R., Sonnhalde",8.46220639836,47.4520049629,BUS
"Adlikon b. R., Sonnhalde West",8.45891602549,47.45330229399,BUS
"Adlikon b. R., Ziegelhütte",8.46607752761,47.45263626336,BUS
"Adliswil, Ahornweg",8.53438880984,47.31879195941,BUS
"Adliswil, Badstrasse",8.53380600229,47.31359821648,BUS
