name,longitude,latitude,transport_modes
Aadorf,8.90330135169,47.48811815646,TRAIN
Aarau,8.0512737187,47.39135951417,TRAIN
Aarau Torfeld,8.06263971148,47.39356285575,TRAIN
Aarberg,7.27869256566,47.04454127725,TRAIN
Aarburg-Oftringen,7.90822260672,47.32026846949,TRAIN
Aareschlucht Ost (Bahn),8.21789520301,46.71200007733,TRAIN
Aareschlucht West,8.19857711981,46.72124745314,TRAIN
Aarwangen,7.76961920518,47.24087528995,TRAIN
Aarwangen Hard,7.7735331388,47.23526031183,TRAIN
Aarwangen Schloss,7.76362000227,47.24518000241,TRAIN
Aarwangen Vorstadt,7.77131000119,47.23748999383,TRAIN
Aathal,8.76562513535,47.33595913384,TRAIN
Acla da Fontauna,8.84579085043,46.69717382256,TRAIN
Adliswil,8.52425366798,47.31227447867,TRAIN
Aefligen,7.55925321768,47.09559351073,TRAIN
Aesch BL,7.60306821023,47.46774466229,TRAIN
Affoltern am Albis,8.44659499502,47.27607036243,TRAIN
Affoltern-Weier,7.74985546867,47.06191708184,TRAIN
Agno,8.90091999379,45.99592999525,TRAIN
Aigle,6.96368321186,46.3168554186,TRAIN
Aigle-Château,6.97892136109,46.31687170607,TRAIN
Aigle-Dépôt,6.97537000141,46.31828999455,TRAIN
Aigle-Hôpital,6.96605000324,46.31047000118,TRAIN
Aigle-Parc Aventure,6.98621999412,46.31530000113,TRAIN
Aigle-Place-du-Marché,6.97033999545,46.317239994,TRAIN
Airolo,8.6086197556,46.52752595779,TRAIN
Albeuve,7.05542000318,46.51793000122,TRAIN
Algetshausen-Henau,9.10994218777,47.44854834568,TRAIN
Allaman,6.39969707975,46.4757535208,TRAIN
Alle,7.12824856048,47.42422870132,TRAIN
Allières,7.00788999711,46.46981999616,TRAIN
Alp Grüm,10.03114000202,46.37474999357,TRAIN
Alpnach Dorf,8.27534492811,46.94059064829,TRAIN
Alpnachstad,8.27784827202,46.95504152743,TRAIN
Altdorf UR,8.63157541744,46.87573871328,TRAIN
Altendorf,8.82290584821,47.19396706593,TRAIN
